city,state,population,area,radius,restaurants,per_100k,score
Hartford,Connecticut,119669,17.4,3787.4645184557403,5,4.178191511586125,0.6693625424694041
Raleigh,North Carolina,482295,147.1,11012.357082445356,20,4.1468395898775645,0.6584961624512411
Garland,Texas,243470,57.1,6861.072413016615,10,4.107282211360743,0.6446679994778476
Birmingham,Alabama,196644,147.0,11008.613292745991,8,4.068265495006204,0.6308977537249743
Durham,North Carolina,296186,112.8,9643.362637818072,12,4.051508173917742,0.624942972387153
Rancho Cucamonga,California,174405,40.1,5749.712575976234,7,4.013646397752358,0.6113974420448525
Hesperia,California,100633,72.7,7741.785857160238,4,3.974839267437123,0.5973804437747219
Suffolk,Virginia,100659,399.2,18141.333831510296,4,3.973812575129894,0.597007750659529
Bellevue,Washington,151574,33.5,5255.2859570468,6,3.9584625331521237,0.5914241175203334
Miami,Florida,455924,36.0,5447.85072683262,18,3.948026425456874,0.58761556744437
Irving,Texas,254373,67.0,7432.096674604455,10,3.931234840175647,0.5814664697888375
Nashville,Tennessee,687788,475.8,19805.5162731193,27,3.9256282459129848,0.5794074782999101
Mesa,Arizona,511648,138.7,10693.31054529821,20,3.90893739445869,0.5732603997873965
Woodbridge,New Jersey,103194,23.3,4382.802587402524,4,3.876194352384829,0.5611248304748222
Philadelphia,Pennsylvania,1550542,134.4,10526.247645271129,60,3.8696146250794885,0.5586738167034699
Macon,Georgia,156512,249.4,14339.109242187147,6,3.833571866693928,0.5451731469991138
Dearborn,Michigan,105811,24.2,4466.647004038771,4,3.780325296991806,0.52499430487515
Centennial,Colorado,106883,29.7,4948.256154649518,4,3.7424099248711205,0.5104515140142354
Buckeye,Arizona,108909,393.0,17999.90545804441,4,3.6727910457354307,0.4833607410556301
Stamford,Connecticut,136226,37.6,5567.598014837444,5,3.670371294760178,0.4824099346600562
San Jose,California,969655,178.3,12124.103089062783,35,3.6095312250233333,0.45829540559104687
South Fulton,Georgia,110920,85.2,8380.95958203554,4,3.6062026685899746,0.4569643996889061
Victorville,California,138869,73.7,7794.848752781112,5,3.6005155938330367,0.4546874364572783
Murrieta,California,111878,33.6,5263.1238226355645,4,3.575323119826954,0.44455755252634516
Knoxville,Tennessee,198162,98.7,9020.539761782959,7,3.532463338076927,0.4271585087023178
